run_name,type,model,ensemble_models,accuracy,f1_macro,params,latency_ms,size_mb,retain_ratio_vs_full,train_seed,support_seed,n_per_class,tau,alpha,epochs,lr,batch_size,max_len
student_bert-base-uncased_fs1000_supp123_seed2_tau1.5_a0.5,student,bert-base-uncased,,0.9142105263157895,0.914031527901636,109485316,5.927930601562063,417.66114807128906,0.9659391074655916,2,123,1000,1.5,0.5,5,2e-05,8,128
student_bert-base-uncased_fs1000_supp123_seed6_tau2.5_a0.5,student,bert-base-uncased,,0.9142105263157895,0.914160369727987,109485316,8.119061664910987,417.66114807128906,0.9659391074655916,6,123,1000,2.5,0.5,5,2e-05,8,128
student_bert-base-uncased_fs1000_supp123_seed7_tau3.0_a0.3,student,bert-base-uncased,,0.9142105263157895,0.9140098335984891,109485316,9.078412933740765,417.66114807128906,0.9659391074655916,7,123,1000,3.0,0.3,5,2e-05,8,128
student_bert-base-uncased_fs1000_supp123_seed6_tau2.5_a0.3,student,bert-base-uncased,,0.9140789473684211,0.9140030034099953,109485316,6.815356800022225,417.66114807128906,0.9658000834144308,6,123,1000,2.5,0.3,5,2e-05,8,128
student_bert-base-uncased_fs1000_supp123_seed4_tau2.5_a0.1,student,bert-base-uncased,,0.9139473684210526,0.9139119064988795,109485316,7.110813799954485,417.66114807128906,0.9656610593632698,4,123,1000,2.5,0.1,5,2e-05,8,128
student_bert-base-uncased_fs1000_supp123_seed8_tau1.5_a0.9,student,bert-base-uncased,,0.9139473684210526,0.9136316802131101,109485316,7.177208198118024,417.66114807128906,0.9656610593632698,8,123,1000,1.5,0.9,5,2e-05,8,128
student_bert-base-uncased_fs1000_supp123_seed3_tau1.0_a0.1,student,bert-base-uncased,,0.9138157894736842,0.9137746869008447,109485316,6.854063532955479,417.66114807128906,0.9655220353121091,3,123,1000,1.0,0.1,5,2e-05,8,128
student_bert-base-uncased_fs1000_supp123_seed3_tau1.5_a0.5,student,bert-base-uncased,,0.9138157894736842,0.9137244115721758,109485316,7.773523867460123,417.66114807128906,0.9655220353121091,3,123,1000,1.5,0.5,5,2e-05,8,128
student_bert-base-uncased_fs1000_supp123_seed6_tau1.5_a0.1,student,bert-base-uncased,,0.9138157894736842,0.9139055999885263,109485316,6.171190468982483,417.66114807128906,0.9655220353121091,6,123,1000,1.5,0.1,5,2e-05,8,128
student_bert-base-uncased_fs1000_supp123_seed8_tau2.0_a0.3,student,bert-base-uncased,,0.9138157894736842,0.9138055329002281,109485316,7.305559468416807,417.66114807128906,0.9655220353121091,8,123,1000,2.0,0.3,5,2e-05,8,128
student_bert-base-uncased_fs1000_supp123_seed2_tau3.0_a0.1,student,bert-base-uncased,,0.9136842105263158,0.9135792898303035,109485316,7.267830268635104,417.66114807128906,0.9653830112609482,2,123,1000,3.0,0.1,5,2e-05,8,128
student_bert-base-uncased_fs1000_supp123_seed6_tau1.5_a0.7,student,bert-base-uncased,,0.9136842105263158,0.9132740413339825,109485316,6.49538919775902,417.66114807128906,0.9653830112609482,6,123,1000,1.5,0.7,5,2e-05,8,128
student_bert-base-uncased_fs1000_supp123_seed1_tau0.1_a0.7,student,bert-base-uncased,,0.9135526315789474,0.9133130447078164,109485316,6.278929934099627,417.66114807128906,0.9652439872097873,1,123,1000,0.1,0.7,5,2e-05,8,128
student_bert-base-uncased_fs1000_supp123_seed3_tau2.0_a0.3,student,bert-base-uncased,,0.9135526315789474,0.9136241237622962,109485316,7.040441067753515,417.66114807128906,0.9652439872097873,3,123,1000,2.0,0.3,5,2e-05,8,128
student_bert-base-uncased_fs1000_supp123_seed3_tau3.0_a0.7,student,bert-base-uncased,,0.9135526315789474,0.9135618195077009,109485316,7.661830133777888,417.66114807128906,0.9652439872097873,3,123,1000,3.0,0.7,5,2e-05,8,128
student_bert-base-uncased_fs1000_supp123_seed4_tau2.0_a0.7,student,bert-base-uncased,,0.9135526315789474,0.9133819203792704,109485316,7.840153067081701,417.66114807128906,0.9652439872097873,4,123,1000,2.0,0.7,5,2e-05,8,128
student_bert-base-uncased_fs1000_supp123_seed5_tau1.0_a0.1,student,bert-base-uncased,,0.9135526315789474,0.9133478467539713,109485316,6.890429737783658,417.66114807128906,0.9652439872097873,5,123,1000,1.0,0.1,5,2e-05,8,128
student_bert-base-uncased_fs1000_supp123_seed6_tau0.1_a0.9,student,bert-base-uncased,,0.9135526315789474,0.913382882505926,109485316,5.793372796809611,417.66114807128906,0.9652439872097873,6,123,1000,0.1,0.9,5,2e-05,8,128
student_bert-base-uncased_fs1000_supp123_seed8_tau1.5_a0.1,student,bert-base-uncased,,0.9135526315789474,0.9135711645525817,109485316,7.514851802261546,417.66114807128906,0.9652439872097873,8,123,1000,1.5,0.1,5,2e-05,8,128
